,city,district,neighborhood,room,living_room,area,age,floor,price
0,izmir,konak,kilic_reis,1,1,55,25,1,12000
1,izmir,konak,akin_simav,3,1,150,35,3,16000
4,izmir,karsiyaka,bahcelievler,3,1,160,27,3,18000
5,izmir,konak,kultur,3,1,135,35,3,45000
6,izmir,bornova,kazimdirik,1,1,67,2,4,35000
7,izmir,gaziemir,yesil,3,1,140,25,2,25000
8,izmir,gaziemir,atifbey,3,1,170,15,3,22000
9,izmir,gaziemir,dokuz_eylul,3,1,170,10,2,15000
10,izmir,gaziemir,irmak,3,1,140,20,0,15000
11,izmir,cesme,cumhuriyet,3,1,130,30,2,24000
14,izmir,karabaglar,esenyali,3,1,210,31,0,35000
15,izmir,karsiyaka,bostanli,2,1,89,0,1,30000
16,izmir,seferihisar,colak_ibrahim_bey,3,1,130,5,4,20000
18,izmir,karsiyaka,yali,4,1,200,11,2,60000
19,izmir,karabaglar,umut,3,1,130,26,1,10500
20,izmir,bayrakli,manavkuyu,3,1,140,12,4,25000
22,izmir,selcuk,ataturk,3,1,140,4,1,22000
23,izmir,urla,camlicay,3,1,200,10,2,55000
24,izmir,cigli,kucuk_cigli,2,1,75,6,4,13000
25,izmir,balcova,cetin_emec,3,1,120,22,2,25000
26,izmir,konak,kilic_reis,2,1,75,35,1,10000
27,izmir,selcuk,zafer,3,1,110,11,1,16000
28,izmir,bayrakli,sogukkuyu,3,1,120,26,3,12500
29,izmir,karsiyaka,zubeyde_hanim,2,1,100,27,4,10000
30,izmir,bornova,kazimdirik,1,1,65,6,2,21000
32,izmir,karabaglar,bahcelievler,3,1,160,35,6,30000
33,izmir,karsiyaka,bostanli,3,1,145,26,4,22000
34,izmir,karabaglar,bahcelievler,3,1,115,23,0,13000
35,izmir,bayrakli,emek,3,1,120,29,2,10000
39,izmir,buca,yenigun,3,1,150,26,2,17000
40,izmir,menderes,barbaros,2,1,105,5,2,18000
41,izmir,karabaglar,gulyaka,1,1,50,4,1,11000
42,izmir,bayrakli,manavkuyu,3,1,120,25,4,18000
43,izmir,karabaglar,yasar_kemal,2,1,87,11,5,11000
44,izmir,karabaglar,general_kazim_ozalp,2,1,90,3,2,20000
46,izmir,karabaglar,esenyali,3,1,130,35,2,27500
48,izmir,karsiyaka,goncalar,3,1,145,25,6,22000
49,izmir,bayrakli,mansuroglu,3,1,135,35,1,20000
51,izmir,bayrakli,bayrakli,2,1,85,20,0,25000
52,izmir,balcova,egitim,3,1,130,10,2,23000
54,izmir,bornova,evka_3,3,1,120,33,2,20000
56,izmir,menderes,mithatpasa,3,1,155,8,4,19750
59,izmir,narlidere,limanreis,3,1,140,35,2,50000
61,izmir,konak,mithatpasa,2,1,95,7,1,12000
62,izmir,konak,yesiltepe,3,1,160,30,2,34000
63,izmir,cigli,atasehir,3,1,160,20,5,25000
64,izmir,menderes,cukuralti,4,1,174,18,5,19500
67,izmir,karsiyaka,bahcelievler,3,1,125,32,1,22000
68,izmir,karabaglar,bahcelievler,2,1,95,4,2,20000
69,izmir,menemen,kemal_ataturk,3,1,180,6,2,18000
70,izmir,konak,mehmet_ali_akman,3,1,125,25,2,30000
71,izmir,menemen,29_ekim,3,1,165,6,4,24500
72,izmir,balcova,onur,3,1,170,28,3,20000
73,izmir,karsiyaka,tuna,3,1,100,30,1,25000
75,izmir,balcova,onur,2,1,110,20,1,23000
76,izmir,bayrakli,sogukkuyu,3,1,160,14,6,24000
78,izmir,gaziemir,gazikent,1,1,75,7,2,28000
79,izmir,bornova,erzene,1,1,50,0,1,16000
83,izmir,karabaglar,esentepe,2,1,100,25,5,21000
86,izmir,konak,atilla,2,1,85,20,2,15000
87,izmir,karabaglar,doganay,2,1,97,30,-1,12500
88,izmir,menderes,cuneytbey,3,1,135,8,2,16750
89,izmir,buca,kurucesme,1,1,45,0,2,10000
90,izmir,bornova,kazimdirik,3,1,130,25,2,20000
92,izmir,bornova,evka_3,2,1,80,35,4,15000
93,izmir,cigli,balatcik,1,1,50,8,3,14000
95,izmir,cigli,atasehir,2,1,90,5,5,14000
96,izmir,cigli,balatcik,1,1,60,3,2,16000
97,izmir,karabaglar,doganay,3,1,135,16,5,15000
98,izmir,karsiyaka,bahriye_ucok,3,1,140,25,5,22000
99,izmir,bornova,erzene,3,1,120,30,1,15000
100,izmir,cigli,atasehir,2,1,84,3,5,35000
101,izmir,karabaglar,uckuyular,3,1,120,30,2,19000
102,izmir,karsiyaka,dedebasi,2,1,90,8,1,16000
103,izmir,karsiyaka,imbatli,1,1,42,0,2,15000
104,izmir,buca,firat,2,1,90,0,3,18000
105,izmir,karabaglar,bahcelievler,3,1,130,40,3,21500
