"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","wp-btn-label","he-lazy-image src","he-lazy-image src 2","listingCard__owner-firm"
"https://www.hepsiemlak.com/konya-meram-meliksah-kiralik/daire/88447-20","1 / 23","37.500","20/08/2026","Konya Meram Yeniyolda  Kiralık 3+1 Lüks Daire","Kiralık Daire","3 + 1","185 m²","15 Yaşında","3. Kat","Konya / Meram / Melikşah Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/konya-selcuklu-yazir-kiralik/daire/88447-120","1 / 13","28.000","13/08/2026","Kiralık 3+1 Daire Otogar Karşısında","Kiralık Daire","3 + 1","165 m²","15 Yaşında","1. Kat","Konya / Selçuklu / Yazır Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/konya-selcuklu-aksemsettin-kiralik/daire/170981-4","1 / 14","35.000","19/08/2026","Akşemsettin Mah. 3+1 Kiralık Daire","Kiralık Daire","3 + 1","210 m²","10 Yaşında","2. Kat","Konya / Selçuklu / Akşemsettin Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/konya-meram-uluirmak-kiralik/daire/135159-132","1 / 38","31.500","20/08/2026","Meram Uluırmak Evleri 3+1 Kiralık Sıfır Daire","Kiralık Daire","3 + 1","166 m²","Sıfır Bina","8. Kat","Konya / Meram / Uluırmak Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/2/3/1/1/7/4/851f66a4-57c3-40ff-bdcc-bc9a0e322232.jpg","",""
"https://www.hepsiemlak.com/konya-meram-hatip-kiralik/daire/49677-2254","1 / 32","17.500","20/08/2026","Beybes Toki'de Ozan'dan Kiralık Ankstreli 3+1 Daire","Kiralık Daire","3 + 0","130 m²","3 Yaşında","Yüksek Giriş","Konya / Meram / Hatıp Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/2168-2357","1 / 9","12.000","20/08/2026","Bosna Hersek'te Bayanlara Uygun Eşyalı Daire","Kiralık Daire","Stüdyo","25 m²","11 Yaşında","2. Kat","Konya / Selçuklu / Bosna Hersek Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Uğur Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/2168-2358","1 / 11","20.000","20/08/2026","Stüdyo İstanbul Sitesinde 1+1 Eşyalı Kiralık Stüdyo Daire","Kiralık Daire","1 + 1","65 m²","11 Yaşında","2. Kat","Konya / Selçuklu / Bosna Hersek Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Uğur Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/2168-2353","1 / 23","17.500","20/08/2026","Uğur Emlak'tan Bosna Merkezinde 3+1 Kiralık Daire","Kiralık Daire","3 + 1","110 m²","16 Yaşında","3. Kat","Konya / Selçuklu / Bosna Hersek Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Uğur Emlak"
"https://www.hepsiemlak.com/konya-meram-kozagac-kiralik/daire/81846-2312","1 / 27","22.000","20/08/2026","Kozagaç Antalya Yolu Askeriye Karşısı 3+1bakımlı Kiralık Daire","Kiralık Daire","3 + 1","180 m²","16 Yaşında","5. Kat","Konya / Meram / Kozağaç Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-sancak-kiralik/daire/80401-10","1 / 28","26.000","20/08/2026","Beyaz Zambak Sitesinde Kiralık 3+1 Arakat Daire","Kiralık Daire","3 + 1","140 m²","21 Yaşında","2. Kat","Konya / Selçuklu / Sancak Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
